No.	都道府県	市区町村	事業所名（屋号）	業種		還元率
23,599	埼玉県	さいたま市大宮区	パローネシューズ	小売業	その他小売	5%
23,600	埼玉県	さいたま市大宮区	パローネ　シューズショップ	小売業	その他小売	5%
23,601	埼玉県	さいたま市大宮区	Ｂｅｅ大宮	サービス	飲食業	5%
23,602	埼玉県	さいたま市大宮区	ビストロチャイニーズ　オオサワ　本店	サービス	飲食業	5%
23,603	埼玉県	さいたま市大宮区	Ｐｉｚｚｅｒｉａ　Ｃｉｃｃｉｏ	サービス	飲食業	5%
23,604	埼玉県	さいたま市大宮区	ＢＥＹＯＮＤＷＡＸ	サービス	理容・美容業	5%
23,605	埼玉県	さいたま市大宮区	風来坊大宮店	サービス	飲食業	5%
23,606	埼玉県	さいたま市大宮区	ＦＥＲＩＥ	サービス	理容・美容業	5%
23,607	埼玉県	さいたま市大宮区	ふぉーとすてーしょん	サービス	その他サービス	5%
23,608	埼玉県	さいたま市大宮区	フクミ薬局	小売業	その他小売	5%
23,609	埼玉県	さいたま市大宮区	ブティック　プリンセス	小売業	衣料品	5%
23,610	埼玉県	さいたま市大宮区	ブリアント　大宮店	サービス	理容・美容業	5%
23,611	埼玉県	さいたま市大宮区	Ｂｒｉｌｌｉｏ	その他業種	ー	5%
23,612	埼玉県	さいたま市大宮区	ブロッサム　大宮西口店	サービス	理容・美容業	5%
23,613	埼玉県	さいたま市大宮区	ＨａｉｒＤｒｅｓｓｉｎｇＬＯＶＩＳ	サービス	理容・美容業	5%
23,614	埼玉県	さいたま市大宮区	Ｈａｉｒ＆ＥｙｅｌａｓｈＰＲＥＳ	サービス	理容・美容業	5%
23,615	埼玉県	さいたま市大宮区	Ｈａｉｒ　ｓａｌｏｎ　Ｃｌｅｆ　【ヘアサロンクレ】	サービス	理容・美容業	5%
23,616	埼玉県	さいたま市大宮区	ベーグルラパン	サービス	飲食業	5%
23,617	埼玉県	さいたま市大宮区	ベストメガネコンタクト	小売業	その他小売	5%
23,618	埼玉県	さいたま市大宮区	ベルギービアレストラン　キッチン　シューラク	サービス	飲食業	5%
23,619	埼玉県	さいたま市大宮区	ホルモン酒場　大宮店	サービス	飲食業	5%
23,620	埼玉県	さいたま市大宮区	株式会社そら	その他業種	ー	5%
23,621	埼玉県	さいたま市大宮区	ＢＯＮＢＯＮ　ＢＡＺＡＲ　ボンボン　バザール	サービス	飲食業	5%
23,622	埼玉県	さいたま市大宮区	まつもとドライクリーニング本店	サービス	その他サービス	5%
23,623	埼玉県	さいたま市大宮区	魔法のランプ	サービス	理容・美容業	5%
23,624	埼玉県	さいたま市大宮区	ミートショップ上野	小売業	食料品	5%
23,625	埼玉県	さいたま市大宮区	三矢交通株式会社	サービス	運輸業	5%
23,626	埼玉県	さいたま市大宮区	水面月　大宮店	サービス	飲食業	5%
23,627	埼玉県	さいたま市大宮区	Ｍｅｇｕｍｉ鍼灸治療院　Ｍｅｇｕｍｉ鍼灸治療院	サービス	その他サービス	5%
23,628	埼玉県	さいたま市大宮区	ＶＥＴＣＨ	サービス	理容・美容業	5%
23,629	埼玉県	さいたま市大宮区	有限会社ケーワイプラス	サービス	飲食業	5%
23,630	埼玉県	さいたま市大宮区	ラーメン凪大宮東口	サービス	飲食業	5%
23,631	埼玉県	さいたま市大宮区	Ｌａｃｈｉｃ	サービス	その他サービス	5%
23,632	埼玉県	さいたま市大宮区	らしんばん　大宮店	小売業	その他小売	5%
23,633	埼玉県	さいたま市大宮区	ラファカイロプラクティック	サービス	その他サービス	5%
23,634	埼玉県	さいたま市大宮区	ラムタラ　大宮駅前店	小売業	その他小売	5%
23,635	埼玉県	さいたま市大宮区	ランクレ	サービス	飲食業	5%
23,636	埼玉県	さいたま市大宮区	Ｌｕｎｃｈ＆ｂａｒ　４２２	サービス	飲食業	5%
23,637	埼玉県	さいたま市大宮区	力の蔵大宮西口駅前店	サービス	飲食業	5%
23,638	埼玉県	さいたま市大宮区	力の蔵大宮東口店	サービス	飲食業	5%
23,639	埼玉県	さいたま市大宮区	ＲＩＴＡ　ＲＩＴＡ大宮	サービス	理容・美容業	5%
23,640	埼玉県	さいたま市大宮区	ＲＩＴＡ　Ｌｕｃｙ	サービス	理容・美容業	5%
23,641	埼玉県	さいたま市大宮区	ｒｅ　ｔｒｕｅ　大宮　【リ　トゥルー大宮】	サービス	理容・美容業	5%
23,642	埼玉県	さいたま市大宮区	Ｌｉｂｅｒｔｙ　Ｂｉｋｅｓ	小売業	その他小売	5%
23,643	埼玉県	さいたま市大宮区	Ｒｅ　Ｒａ　Ｋｕ　さいたま新都心店	サービス	その他サービス	5%
23,644	埼玉県	さいたま市大宮区	レストラン　ランクレ	サービス	飲食業	5%
23,645	埼玉県	さいたま市北区	ｉ　ｓｕｍｕ設計株式会社	サービス	その他サービス	5%
23,646	埼玉県	さいたま市北区	阿部防水	その他業種	ー	5%
23,647	埼玉県	さいたま市北区	ｙｅｌｌｏｗ　ｈａｉｒ　イエロー	サービス	理容・美容業	5%
23,648	埼玉県	さいたま市北区	出光日進町ＳＳ	小売業	ガソリンスタンド	2%
23,649	埼玉県	さいたま市北区	癒しの空間ｍｍｓ	サービス	理容・美容業	5%
23,650	埼玉県	さいたま市北区	株式会社エーコレクト	サービス	その他サービス	5%
23,651	埼玉県	さいたま市北区	Ｓ?ＬＩＮＫヌマノ	小売業	電化製品	5%
23,652	埼玉県	さいたま市北区	Ｓ－ＬＩＮＫハヤシ	小売業	電化製品	5%
23,653	埼玉県	さいたま市北区	オーガニックシェアサロンかえもん	小売業	その他小売	5%
23,654	埼玉県	さいたま市北区	大川　大宮店	小売業	家具・調度品	5%
23,655	埼玉県	さいたま市北区	大川　大宮店	小売業	家具・調度品	5%
23,656	埼玉県	さいたま市北区	セブン－イレブン大宮日進１T目店	小売業	食料品	2%
23,657	埼玉県	さいたま市北区	セブン－イレブン大宮日進駅西店	小売業	食料品	2%
23,658	埼玉県	さいたま市北区	セブン－イレブン大宮宮原西口店	小売業	食料品	2%
23,659	埼玉県	さいたま市北区	大村庵　　宮原駅前	サービス	飲食業	5%
23,660	埼玉県	さいたま市北区	ｇａｒｄｅｎ　ｓｈｏｐ　Ｃｏｎｉｗａ　西村店	小売業	その他小売	5%
23,661	埼玉県	さいたま市北区	花銀	小売業	食料品	5%
23,662	埼玉県	さいたま市北区	がってん食堂大島屋　吉野町店	サービス	飲食業	5%
23,663	埼玉県	さいたま市北区	株式会社アイズワークス	小売業	その他小売	5%
23,664	埼玉県	さいたま市北区	株式会社アイズワークス	小売業	その他小売	5%
23,665	埼玉県	さいたま市北区	株式会社ＡＫＴジャパン	小売業	その他小売	5%
23,666	埼玉県	さいたま市北区	株式会社幸希	サービス	その他サービス	5%
23,667	埼玉県	さいたま市北区	株式会社シンエイ	サービス	その他サービス	5%
23,668	埼玉県	さいたま市北区	カラオケＡＬＬ　宮原	サービス	その他サービス	5%
23,669	埼玉県	さいたま市北区	カラオケハッスル　宮原	サービス	その他サービス	5%
23,670	埼玉県	さいたま市北区	菊地動物病院	その他業種	ー	5%
23,671	埼玉県	さいたま市北区	ぎょうざの満洲　宮原駅前店	サービス	飲食業	5%
23,672	埼玉県	さいたま市北区	業務スーパーさいたま大宮店	小売業	食料品	2%
23,673	埼玉県	さいたま市北区	くつろぎルーム歩み	サービス	理容・美容業	5%
23,674	埼玉県	さいたま市北区	個人　吉田タクシー	サービス	運輸業	5%
23,675	埼玉県	さいたま市北区	セブン－イレブンさいたま植竹町１T目店	小売業	食料品	2%
23,676	埼玉県	さいたま市北区	セブン－イレブンさいたま大宮市場前店	小売業	食料品	2%
23,677	埼玉県	さいたま市北区	セブン－イレブンさいたま大宮自衛隊前店	小売業	食料品	2%
23,678	埼玉県	さいたま市北区	セブン－イレブンさいたま櫛引町２T目店	小売業	食料品	2%
23,679	埼玉県	さいたま市北区	セブン－イレブンさいたま今羽町店	小売業	食料品	2%
23,680	埼玉県	さいたま市北区	セブン－イレブンさいたま土呂駅西店	小売業	食料品	2%
23,681	埼玉県	さいたま市北区	セブン－イレブンさいたま土呂２T目店	小売業	食料品	2%
23,682	埼玉県	さいたま市北区	セブン－イレブンさいたま奈良町北店	小売業	食料品	2%
23,683	埼玉県	さいたま市北区	セブン－イレブンさいたま日進駅東店	小売業	食料品	2%
23,684	埼玉県	さいたま市北区	セブン－イレブンさいたま日進３T目店	小売業	食料品	2%
23,685	埼玉県	さいたま市北区	セブン－イレブンさいたま別所町店	小売業	食料品	2%
23,686	埼玉県	さいたま市北区	セブン－イレブンさいたま本郷町店	小売業	食料品	2%
23,687	埼玉県	さいたま市北区	セブン－イレブンさいたま盆栽町店	小売業	食料品	2%
23,688	埼玉県	さいたま市北区	セブン－イレブンさいたま宮原１T目店	小売業	食料品	2%
23,689	埼玉県	さいたま市北区	セブン－イレブンさいたま宮原１T目西店	小売業	食料品	2%
23,690	埼玉県	さいたま市北区	セブン－イレブンさいたま宮原２T目店	小売業	食料品	2%
23,691	埼玉県	さいたま市北区	セブン－イレブンさいたま宮原４T目店	小売業	食料品	2%
23,692	埼玉県	さいたま市北区	セブン－イレブンさいたま吉野町１T目店	小売業	食料品	2%
23,693	埼玉県	さいたま市北区	セブン－イレブンさいたま吉野町２T目店	小売業	食料品	2%
23,694	埼玉県	さいたま市北区	桜木電気商会	小売業	電化製品	5%
23,695	埼玉県	さいたま市北区	酒の柳蔵　りゅうぐう	小売業	その他小売	5%
23,696	埼玉県	さいたま市北区	佐々木設備	サービス	その他サービス	5%
23,697	埼玉県	さいたま市北区	ｚｉｇｅｎ　ｈａｉｒ　ｒｅｓｏｒｔ	サービス	理容・美容業	5%
23,698	埼玉県	さいたま市北区	ゆたか	サービス	飲食業	5%
23,699	埼玉県	さいたま市北区	ｊｕｉｃｅ	サービス	飲食業	5%
23,700	埼玉県	さいたま市北区	ｊｕｉｃｅ	サービス	飲食業	5%
23,701	埼玉県	さいたま市北区	正直屋埼玉大宮店	小売業	電化製品	5%
23,702	埼玉県	さいたま市北区	そば処 満月	サービス	飲食業	5%
23,703	埼玉県	さいたま市北区	高橋紗矢司法書士事務所	サービス	その他サービス	5%
23,704	埼玉県	さいたま市北区	ダスキン大宮	サービス	その他サービス	2%
23,705	埼玉県	さいたま市北区	トヨタレンタリース新埼玉大宮・宮原駅前店	サービス	その他サービス	2%
23,706	埼玉県	さいたま市北区	とんかつ　光助	サービス	飲食業	5%
23,707	埼玉県	さいたま市北区	花きんぎょ	サービス	飲食業	5%
23,708	埼玉県	さいたま市北区	パナハート　ミズイ	小売業	電化製品	5%
23,709	埼玉県	さいたま市北区	東大成事務所	サービス	その他サービス	5%
23,710	埼玉県	さいたま市北区	東大宮自動車学校	サービス	その他サービス	5%
23,711	埼玉県	さいたま市北区	美容室ｎｉｔｏｒｏ　ｎｉｔｏｒｏ	サービス	理容・美容業	5%
23,712	埼玉県	さいたま市北区	ｂｏｏｍ　ｈａｉｒ　日進店	サービス	理容・美容業	5%
23,713	埼玉県	さいたま市北区	ＢｌｕｅＤｏｌｐｈｉｎｓ	その他業種	ー	5%
23,714	埼玉県	さいたま市北区	フレッシュライスマチダ	小売業	食料品	5%
23,715	埼玉県	さいたま市北区	ｈａｉｒ ｇａｒｄｅｎ Ｒｏｌｄ 大宮店	サービス	理容・美容業	5%
23,716	埼玉県	さいたま市北区	ｈａｉｒｃｕｔｓａｌｏｎふくだ ｈａｉｒｃｕｔｓａｌｏｎふくだ	サービス	理容・美容業	5%
23,717	埼玉県	さいたま市北区	ヘアーサロンツチヤ	サービス	理容・美容業	5%
23,718	埼玉県	さいたま市北区	Ｈａｉｒ　ｍａｋｅ　Ｒ	サービス	理容・美容業	5%
23,719	埼玉県	さいたま市北区	まさ木行政書士事務所	サービス	その他サービス	5%
23,720	埼玉県	さいたま市北区	まつばら酒店	小売業	食料品	5%
23,721	埼玉県	さいたま市北区	Ｍｉｃｓ　ｈａｉｒ　ｄｅｓｉｇｎ	サービス	理容・美容業	5%
23,722	埼玉県	さいたま市北区	ミツワ電気	小売業	電化製品	5%
23,723	埼玉県	さいたま市北区	宮内電気	小売業	電化製品	5%
23,724	埼玉県	さいたま市北区	Ｍｏｂｉｌｅｒｅｐａｉｒ上尾宮原店	サービス	その他サービス	5%
23,725	埼玉県	さいたま市北区	淀屋	小売業	その他小売	5%
23,726	埼玉県	さいたま市北区	Ｌｕｉｚ　宮原	サービス	理容・美容業	5%
23,727	埼玉県	さいたま市北区	株式会社ローカルクリエーションズ	小売業	電化製品	5%
23,728	埼玉県	さいたま市北区	ワカキ洋品店	小売業	衣料品	5%
23,729	埼玉県	さいたま市北区	ヘアーサロンＮｅｋｓ ヘアーサロンＮｅｋｓ	サービス	理容・美容業	5%
23,730	埼玉県	さいたま市桜区	ウスキ電機	小売業	電化製品	5%
23,731	埼玉県	さいたま市桜区	セブン－イレブン浦和埼玉大学店	小売業	食料品	2%
23,732	埼玉県	さいたま市桜区	セブン－イレブン浦和栄和店	小売業	食料品	2%
23,733	埼玉県	さいたま市桜区	セブン－イレブン浦和桜田２T目店	小売業	食料品	2%
23,734	埼玉県	さいたま市桜区	遠藤電気商会栄和店	小売業	電化製品	5%
23,735	埼玉県	さいたま市桜区	王拯治療室	サービス	理容・美容業	5%
23,736	埼玉県	さいたま市桜区	がってん食堂大島屋　浦和西掘店	サービス	飲食業	5%
23,737	埼玉県	さいたま市桜区	カットハウスティエム	サービス	理容・美容業	5%
23,738	埼玉県	さいたま市桜区	カレーハウスＣｏＣｏ壱番屋さいたま埼大通り店	サービス	飲食業	2%
23,739	埼玉県	さいたま市桜区	Ｃｌｉｍｂｉｎｇ　ＧＹＭ　Ｐｅｎｇｕｉｎ	サービス	その他サービス	5%
23,740	埼玉県	さいたま市桜区	金剛堂　埼玉本店	小売業	家具・調度品	5%
23,741	埼玉県	さいたま市桜区	セブン－イレブンさいたま大久保小学校前店	小売業	食料品	2%
23,742	埼玉県	さいたま市桜区	セブン－イレブンさいたま大久保店	小売業	食料品	2%
23,743	埼玉県	さいたま市桜区	セブン－イレブンさいたま栄和２T目店	小売業	食料品	2%
23,744	埼玉県	さいたま市桜区	セブン－イレブンさいたま下大久保店	小売業	食料品	2%
23,745	埼玉県	さいたま市桜区	セブン－イレブンさいたま白鍬店	小売業	食料品	2%
23,746	埼玉県	さいたま市桜区	セブン－イレブンさいたま田島１T目店	小売業	食料品	2%
23,747	埼玉県	さいたま市桜区	セブン－イレブンさいたま田島３T目店	小売業	食料品	2%
23,748	埼玉県	さいたま市桜区	セブン－イレブンさいたま田島７T目店	小売業	食料品	2%
23,749	埼玉県	さいたま市桜区	セブン－イレブンさいたま田島８T目店	小売業	食料品	2%
23,750	埼玉県	さいたま市桜区	セブン－イレブンさいたま西堀２T目店	小売業	食料品	2%
23,751	埼玉県	さいたま市桜区	埼玉法衣	小売業	衣料品	5%
23,752	埼玉県	さいたま市桜区	セブン－イレブンさいたま町谷１T目店	小売業	食料品	2%
23,753	埼玉県	さいたま市桜区	酒　だいにんぐ　うさぎ家	サービス	飲食業	5%
23,754	埼玉県	さいたま市桜区	シュ　ボウ　ヘアコミュニティ　Ａｖｅ	サービス	理容・美容業	5%
23,755	埼玉県	さいたま市桜区	シュ　ボウ　ヘアコミュニティ　Ｏ　５	サービス	理容・美容業	5%
23,756	埼玉県	さいたま市桜区	承知の助さいたま田島店	サービス	飲食業	5%
23,757	埼玉県	さいたま市桜区	肉の八頭龍	サービス	飲食業	5%
23,758	埼玉県	さいたま市桜区	セブン－イレブン西浦和駅前店	小売業	食料品	2%
23,759	埼玉県	さいたま市桜区	バオバブ	サービス	飲食業	5%
23,760	埼玉県	さいたま市桜区	風風ラーメン　浦和道場店	サービス	飲食業	5%
23,761	埼玉県	さいたま市桜区	プライベートサロンルミナス	サービス	理容・美容業	5%
23,762	埼玉県	さいたま市桜区	朋友堂	小売業	衣料品	5%
23,763	埼玉県	さいたま市桜区	譽田電器	小売業	電化製品	5%
23,764	埼玉県	さいたま市桜区	本店	小売業	衣料品	5%
23,765	埼玉県	さいたま市桜区	ワインショップドラジェ	小売業	食料品	5%
23,766	埼玉県	さいたま市桜区	和食ごはん　順風満帆	サービス	飲食業	5%
23,767	埼玉県	さいたま市中央区	アルカディアン美容室	サービス	理容・美容業	5%
23,768	埼玉県	さいたま市中央区	あんみつさん	サービス	飲食業	5%
23,769	埼玉県	さいたま市中央区	ＷＩＺ　Ｄｏｒｏｔｈｙ【ウィズ　ドロシー】与野店	サービス	理容・美容業	5%
23,770	埼玉県	さいたま市中央区	さいたまユニオン　梅原電気	小売業	電化製品	5%
23,771	埼玉県	さいたま市中央区	オリックスレンタカーさいたま新都心店	サービス	その他サービス	2%
23,772	埼玉県	さいたま市中央区	オリックスレンタカーさいたま中央店	サービス	その他サービス	2%
23,773	埼玉県	さいたま市中央区	かごの屋　与野店	サービス	飲食業	5%
23,774	埼玉県	さいたま市中央区	がってん寿司さいたま鈴谷店	サービス	飲食業	5%
23,775	埼玉県	さいたま市中央区	カリーキングダム	サービス	飲食業	5%
23,776	埼玉県	さいたま市中央区	(給湯お助け隊)アドテックサービス株式会社	小売業	その他小売	5%
23,777	埼玉県	さいたま市中央区	女性理容師きょうこのお店	サービス	理容・美容業	5%
23,778	埼玉県	さいたま市中央区	ぎょうざの満洲　北与野駅前店	サービス	飲食業	5%
23,779	埼玉県	さいたま市中央区	川口屋	サービス	その他サービス	5%
23,780	埼玉県	さいたま市中央区	セブン－イレブンけやき広場前店	小売業	食料品	2%
23,781	埼玉県	さいたま市中央区	ｇｏｅｎ　ｈａｉｒ　ｌｏｕｎｇｅ	サービス	理容・美容業	5%
23,782	埼玉県	さいたま市中央区	サイクルショップ ライフ	小売業	その他小売	5%
23,783	埼玉県	さいたま市中央区	セブン－イレブンさいたま円阿弥２T目店	小売業	食料品	2%
23,784	埼玉県	さいたま市中央区	セブン－イレブンさいたま大戸３T目店	小売業	食料品	2%
23,785	埼玉県	さいたま市中央区	セブン－イレブンさいたま大戸６T目店	小売業	食料品	2%
23,786	埼玉県	さいたま市中央区	セブン－イレブンさいたま上落合９T目店	小売業	食料品	2%
23,787	埼玉県	さいたま市中央区	セブン－イレブンさいたま上落合３T目店	小売業	食料品	2%
23,788	埼玉県	さいたま市中央区	セブン－イレブンさいたま鈴谷４T目店	小売業	食料品	2%
23,789	埼玉県	さいたま市中央区	セブン－イレブンさいたま本町西５T目店	小売業	食料品	2%
23,790	埼玉県	さいたま市中央区	セブン－イレブンさいたま与野本町東店	小売業	食料品	2%
23,791	埼玉県	さいたま市中央区	シュ　ボウ　ヘアコミュニティ　Ｖｅｒ　４	サービス	理容・美容業	5%
23,792	埼玉県	さいたま市中央区	創作蕎麦膳むさしや	サービス	飲食業	5%
23,793	埼玉県	さいたま市中央区	高須自動車　与野店	サービス	その他サービス	5%
23,794	埼玉県	さいたま市中央区	高須自動車与野店	サービス	その他サービス	5%
23,795	埼玉県	さいたま市中央区	タマリバ美容室ＴｏｗａｎｏＷａ	サービス	理容・美容業	5%
23,796	埼玉県	さいたま市中央区	茶ちゃまる	サービス	飲食業	5%
23,797	埼玉県	さいたま市中央区	中華料理　香新	サービス	飲食業	5%
23,798	埼玉県	さいたま市中央区	デトックス トータルビューティ翠恵	サービス	その他サービス	5%
23,799	埼玉県	さいたま市中央区	デトックス＆トータルビューティ翠恵	サービス	その他サービス	5%
23,800	埼玉県	さいたま市中央区	トヨタレンタリース埼玉さいたま新都心店	サービス	その他サービス	2%
23,801	埼玉県	さいたま市中央区	トヨタレンタリース新埼玉与野店	サービス	その他サービス	2%
23,802	埼玉県	さいたま市中央区	トヨタレンタリース埼玉　さいたま新都心店	サービス	その他サービス	2%
23,803	埼玉県	さいたま市中央区	ピッコリーノ動物病院	サービス	その他サービス	5%
23,804	埼玉県	さいたま市中央区	美容室ルーツ	サービス	理容・美容業	5%
23,805	埼玉県	さいたま市中央区	フリーリー美容室	サービス	理容・美容業	5%
23,806	埼玉県	さいたま市中央区	ブロッサム　与野店	サービス	理容・美容業	5%
23,807	埼玉県	さいたま市中央区	ヘアースタジオセブン	サービス	理容・美容業	5%
23,808	埼玉県	さいたま市中央区	増田ヤ 与野駅前店	小売業	食料品	5%
23,809	埼玉県	さいたま市中央区	ミハフルーラ　与野本町店	サービス	その他サービス	5%
23,810	埼玉県	さいたま市中央区	ｍｉｌｋａｒｕｃｇｅ	サービス	理容・美容業	5%
23,811	埼玉県	さいたま市中央区	むぎとオリーブ　グループ　さいたま新都心店	サービス	飲食業	5%
23,812	埼玉県	さいたま市中央区	有限会社マギーフレンズ　Ｍａｇｇｉｅ　ＡＮＮＥＸ	サービス	理容・美容業	5%
23,813	埼玉県	さいたま市中央区	洋風厨房　ソーシエ　洋風厨房　ソーシエ	サービス	飲食業	5%
23,814	埼玉県	さいたま市中央区	セブン－イレブン与野西店	小売業	食料品	2%
23,815	埼玉県	さいたま市中央区	ｌｉｌｙ	サービス	理容・美容業	5%
23,816	埼玉県	さいたま市西区	ＡＫＡＲＡ	サービス	理容・美容業	5%
23,817	埼玉県	さいたま市西区	ＡＲＡＭＡＫＩ	小売業	貴金属・服飾品	5%
23,818	埼玉県	さいたま市西区	癒し床　となりの杜	サービス	理容・美容業	5%
23,819	埼玉県	さいたま市西区	ｗｅａｔｈｅｒ　ｒｅｐｏｒｔ	サービス	飲食業	5%
23,820	埼玉県	さいたま市西区	セブン－イレブン大宮中釘店	小売業	食料品	2%
23,821	埼玉県	さいたま市西区	セブン－イレブン大宮三橋店	小売業	食料品	2%
23,822	埼玉県	さいたま市西区	Ｏｒｃａ	サービス	理容・美容業	5%
23,823	埼玉県	さいたま市西区	がってん寿司指扇店	サービス	飲食業	5%
23,824	埼玉県	さいたま市西区	カヌーショップ ぱどる	小売業	その他小売	5%
23,825	埼玉県	さいたま市西区	ｃａｆｅＶＩＡ	サービス	飲食業	5%
23,826	埼玉県	さいたま市西区	株式会社賃貸自動車埼玉店	サービス	その他サービス	5%
23,827	埼玉県	さいたま市西区	キャッチ・ナウ・モリ	小売業	電化製品	5%
23,828	埼玉県	さいたま市西区	クニトモ電器	小売業	電化製品	5%
23,829	埼玉県	さいたま市西区	グルメ食品株式会社　ほっかほか弁当日本亭　指扇店	サービス	飲食業	5%
23,830	埼玉県	さいたま市西区	セブン－イレブンさいたま飯田新田店	小売業	食料品	2%
23,831	埼玉県	さいたま市西区	セブン－イレブンさいたま指扇東店	小売業	食料品	2%
23,832	埼玉県	さいたま市西区	セブン－イレブンさいたま佐知川店	小売業	食料品	2%
23,833	埼玉県	さいたま市西区	セブン－イレブンさいたま清河寺店	小売業	食料品	2%
23,834	埼玉県	さいたま市西区	セブン－イレブンさいたま中野林店	小売業	食料品	2%
23,835	埼玉県	さいたま市西区	セブン－イレブンさいたま中野林中郷店	小売業	食料品	2%
23,836	埼玉県	さいたま市西区	セブン－イレブンさいたま西遊馬店	小売業	食料品	2%
23,837	埼玉県	さいたま市西区	セブン－イレブンさいたま二ッ宮店	小売業	食料品	2%
23,838	埼玉県	さいたま市西区	セブン－イレブンさいたま三橋５T目店	小売業	食料品	2%
23,839	埼玉県	さいたま市西区	セブン－イレブンさいたま三橋３T目店	小売業	食料品	2%
23,840	埼玉県	さいたま市西区	笹岡電器	小売業	電化製品	5%
23,841	埼玉県	さいたま市西区	旬菜あき山	サービス	飲食業	5%
23,842	埼玉県	さいたま市西区	炭火焼肉　心	サービス	飲食業	5%
23,843	埼玉県	さいたま市西区	ソーイング工房　Ｌｅａｆ	サービス	その他サービス	5%
23,844	埼玉県	さいたま市西区	美容室Ｐｉａｎｏ	サービス	理容・美容業	5%
23,845	埼玉県	さいたま市西区	日吉電気	その他業種	ー	5%
23,846	埼玉県	さいたま市西区	日吉電気	小売業	電化製品	5%
23,847	埼玉県	さいたま市西区	ヘアーデザインアーティ	サービス	理容・美容業	5%
23,848	埼玉県	さいたま市西区	ぽのいえ ＢＢＱ ｃａｆｅ Ｇｒｉｌｌ ｃａｆｅ ぽのいえ	サービス	飲食業	5%
23,849	埼玉県	さいたま市西区	ミキ洋装	小売業	衣料品	5%
23,850	埼玉県	さいたま市緑区	アットイーズ東浦和店	小売業	その他小売	5%
