id	title	area	description	address	tel	latitude	longitude
1	いずみ観光株式会社	今治地区	道路旅客運送業	愛媛県今治市上徳乙216-4	0898-48-7707	34.041971	133.015802
2	いずみ交通有限会社	今治地区	道路旅客運送業	愛媛県今治市広紹寺町2-1-35	0898-23-1630	34.053188	133.001121
3	イオン今治店	今治地区	各種商品小売業	愛媛県今治市馬越町4-8-1	0898-25-3131	34.056258	132.979887
4	イオンスタイル今治新都市	今治地区	各種商品小売業	愛媛県今治市にぎわい広場1-1	0898-34-6100	34.042547	132.961301
5	イオンモール今治新都市	今治地区	各種商品小売業	愛媛県今治市にぎわい広場1-1	0898-34-3700	34.042547	132.961301
6	伊予鉄高島屋今治支店	今治地区	各種商品小売業	愛媛県今治市旭町2-3-4 今治国際ホテル1階	0898-24-2400	34.062131	133.000574
7	Ａコープいまばり愛彩	今治地区	各種商品小売業	愛媛県今治市別宮町9-1-27	0898-32-7880	34.06956	132.989559
8	コープ今治	今治地区	各種商品小売業	愛媛県今治市馬越町4-9-5	0898-25-3600	34.056928	132.978957
9	コープえひめ今治支所	今治地区	各種商品小売業	愛媛県今治市北高下町1-3-53	0898-33-0031	34.054811	133.013749
10	コープ喜田村	今治地区	各種商品小売業	愛媛県今治市喜田村3-1-33	0898-48-8808	34.048873	133.020282
11	ザ・ビッグ今治ワールドプラザ店	今治地区	各種商品小売業	愛媛県今治市東村1-14-2	0898-47-2772	34.042283	133.028331
12	ダイレックス　今治店	今治地区	各種商品小売業	愛媛県今治市北鳥生町4-6-28	0898-52-7030	34.051922	133.004468
13	ディオ今治北店	今治地区	各種商品小売業	愛媛県今治市波止浜112	0898-43-8580		
14	ドン・キホーテ今治店　ワールドプラザ	今治地区	各種商品小売業	愛媛県今治市東村1-14-2	0898-47-1411	34.042283	133.028331
15	ニトリ　今治店	今治地区	各種商品小売業	愛媛県今治市東村南1-9-41	0898-47-3344	34.03676	133.032348
16	波止浜スーパー　ファンタブルキッチン	今治地区	各種商品小売業	愛媛県今治市波止浜11-27	0898-41-5355	34.10081	132.968986
17	ハローズ今治店	今治地区	各種商品小売業	愛媛県今治市土橋町1-4-26	0898-35-3986	34.04805	133.006961
18	ハローズ中寺店	今治地区	各種商品小売業	愛媛県今治市中寺963-1	0898-25-3986	34.042989	132.988266
19	フジ今治店	今治地区	各種商品小売業	愛媛県今治市小泉4-5-1	0898-23-2311	34.047432	132.980739
20	フジグラン今治	今治地区	各種商品小売業	愛媛県今治市東門町5-13-1	0898-34-1411	34.061369	133.014766
21	フジ波止浜店	今治地区	各種商品小売業	愛媛県今治市内堀2-1-14	0898-39-0411		
22	フレッシュバリュー今治城東店	今治地区	各種商品小売業	愛媛県今治市枝堀町1-5-2	0898-33-7222	34.06156	133.009525
23	フレッシュバリュー今治高市店	今治地区	各種商品小売業	愛媛県今治市高市字頓田町甲788-7	0898-36-6100		
24	フレッシュバリュー今治本町店	今治地区	各種商品小売業	愛媛県今治市本町6-782-1	0898-34-8800	34.075921	132.99628
25	マックスバリュ今治阿方店	今治地区	各種商品小売業	愛媛県今治市阿方甲371-2	0898-33-7824	34.061042	132.96464
26	マルナカ今治駅前店	今治地区	各種商品小売業	愛媛県今治市大正町1-2-5	0898-34-5131	34.066906	133.00008
27	マルナカ今治桜井店	今治地区	各種商品小売業	愛媛県今治市東村南1丁目甲46-1	0898-43-5181		
28	マルナカ今治松本店	今治地区	各種商品小売業	愛媛県今治市松本町5-1-1	0898-34-6088	34.058993	133.006581
29	三越今治	今治地区	各種商品小売業	愛媛県今治市旭町2-3-4 今治国際ホテル1階	0898-31-8888	34.062131	133.000574
30	四村ショッパーズ	今治地区	各種商品小売業	愛媛県今治市四村286-1	0898-22-7877	34.037701	132.979738
31	アスビー　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-22-4400	34.042547	132.961301
32	アトリエ・ムウ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市旭町1-1-4	0898-31-8111	34.065392	132.999569
33	アベイル　フレスポ今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市衣干町4-3-30	0898-33-8007	34.045565	133.013558
34	アベニュー　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-33-4573	34.061369	133.014766
35	ＡＭＥＲＩＣＡＮ　ＨＯＬＩＣ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-55-8229	34.042547	132.961301
36	アワーグラス　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2467	34.042547	132.961301
37	いさみ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町3-4-4	0898-22-0134	34.066314	133.000663
38	ｉｋｋａ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-34-7507	34.042547	132.961301
39	今治タオル　今治国際ホテル店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市旭町2-3-4	0898-32-5533	34.062131	133.000574
40	今治タオル　本店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-14-3 テクスポート今治1F	0898-34-3486	34.061458	133.016377
41	インテリエ　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-33-0488	34.061369	133.014766
42	ＡＢＣ－ＭＡＲＴ　ニトリ今治	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東村南1-9-41-1F	0898-36-6810	34.03676	133.032348
43	Ｆ・ＳＴＹＬＥ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2839	34.042547	132.961301
44	Ｍ２（エムニ）　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-32-3339	34.061369	133.014766
45	オルネット	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市八町西2-4-8	0898-22-7613	34.047055	132.990705
46	㈱カナヤ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市米屋町1-2-22	0898-32-3100	34.068495	133.00214
47	かなやふとん店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市本町4-2-2	0898-23-3363	34.071	133.001018
48	きものセンター京都	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町2-6-12	0898-32-9550	34.067295	133.001643
49	きもの大好き　よしだや	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市本町3-1-28	0898-22-1271	34.07008	133.001365
50	クールカレアン　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-52-8338	34.042547	132.961301
51	靴下屋　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2530	34.042547	132.961301
52	靴のヤザマ　イオン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市馬越町4-8-1	0898-33-3009	34.056258	132.979887
53	くつ家ともだ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町3-4-15	0898-32-0964	34.066089	133.000227
54	クボーウル	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町6-2-34	0898-31-2288	34.058942	132.9927
55	久保商店　喜田村店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市喜田村2-5-1	0898-48-1011	34.045804	133.020687
56	久保商店近見店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市近見町2-1-58	0898-33-3233	34.086149	132.988149
57	㈲くらしきや	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市辻堂4-3-11	0898-48-7644	34.037152	133.005742
58	Ｇｒｅｅｎ Ｐａｒｋｓ ｔｏｐｉｃ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2608	34.042547	132.961301
59	ｇｒｏｖｅ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-3520	34.042547	132.961301
60	cross site (クロスサイト)　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-32-3294	34.061369	133.014766
61	コットンハウスBee常盤店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町6-6-16	0898-32-6331	34.057836	132.98989
62	こどもの森	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市共栄町1-3-8	0898-23-5996	34.067475	133.000638
63	コンテックスタオルガーデン	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市宅間甲854-1	0898-23-3933		
64	さがん	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市中寺250-1	0898-23-6432	34.035801	132.998009
65	ZAK ZAK ワールドプラザ店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東村1-14-2-2F	0898-36-6727	34.042283	133.028331
66	ＳＡＣ’Ｓ　ＢＡＲ　ＡＮＯＴＨＥＲ　ＬＯＵＮＧＥ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-3394	34.042547	132.961301
67	ＳＡＣ’Ｓ　ＢＡＲ　Ｊｅａｎ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-3035	34.042547	132.961301
68	ＳＭ２　ｋｅｉｔｔｉｏ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-22-8775	34.042547	132.961301
69	サンワークス産業道路店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市南高下町1-4-28	0898-25-0105	34.052361	133.016732
70	サンワークスバイパス店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市片山1-3-23	0898-22-0800	34.052737	132.978429
71	ＧＵ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-4841	34.042547	132.961301
72	じぶんまくら　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-5248	34.042547	132.961301
73	しまむら　今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市衣干町4-54-1	0898-33-8519	34.044954	133.012141
74	シャンブル　フレスポ今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市衣干町4-3-30	0898-33-7356	34.045565	133.013558
75	シューズカンパニー　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-34-1475	34.061369	133.014766
76	シュープラザ今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市喜田村2-2-8	0898-36-6300	34.049151	133.018929
77	シューラルー　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-39-2502	34.061369	133.014766
78	ＳＨＯＴ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-5586	34.042547	132.961301
79	寝具のアサウミ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市波止浜11-108	0898-41-5922	34.101193	132.970617
80	タオル美術館　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-3474	34.042547	132.961301
81	タツミヤ　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-24-0224	34.061369	133.014766
82	ちづる　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-34-3363	34.061369	133.014766
83	丁子屋	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市本町2-1-1	0898-33-1282		
84	Ｔ’ｓ　ｃｏｌｌｅｃｔｉｏｎ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-22-0636	34.042547	132.961301
85	ティナリーサ　プラス　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-34-6866	34.061369	133.014766
86	ティナリーサプラス　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-0057	34.042547	132.961301
87	有限会社　豊島商店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市本町4-1-14	0898-22-3377	34.071336	133.000243
88	トラッドハウスみやじ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市拝志5-2	0898-48-1434	34.041863	133.026442
89	ニシカワ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町3-4-7	0898-23-8580	34.066239	133.000541
90	バースデイ　今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市北高下町3-3-7	0898-33-8680	34.050417	133.010464
91	ハニーズ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2769	34.042547	132.961301
92	ハニーズ　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-25-6110	34.061369	133.014766
93	ＨＡＲＵＹＡＭＡ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-4711	34.042547	132.961301
94	はるやま商事　今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市北高下町1-3-37	0898-32-9758	34.054875	133.014144
95	BIG久保	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市別宮町4-1-24	0898-22-5808	34.07001	132.994336
96	ヒナヤ　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-33-0911	34.061369	133.014766
97	ピンクアドベ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2190	34.042547	132.961301
98	Ｂｏｕ Ｊｅｌｏｕｄ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-55-8940	34.042547	132.961301
99	フォーエル　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-4717	34.042547	132.961301
100	ブティック　花	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市米屋町1-2-1	0898-23-6237	34.068036	133.002568
101	ブティック　マイ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市栄町1-1-12	0898-23-4793	34.067819	133.000902
102	プティマイン　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-25-5990	34.042547	132.961301
103	ふとん・ギフト　にのみや	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市横田町1-8-48	0898-24-0185	34.047084	133.008194
104	ふとんのこもだ　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-35-3086	34.061369	133.014766
105	ｂｒａｎｓｈｅｓ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-5754	34.042547	132.961301
106	フリーフライト	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市郷桜井1-6-16	0898-48-2711	34.017599	133.034519
107	マルア	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町3-4-5	0898-32-0357	34.066281	133.00061
108	丸五	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市本町1-2-2	0898-32-0505	34.068353	133.003185
109	マルマス靴店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町3-5-5	0898-32-0579	34.065883	132.999932
110	まるよし洋装店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町4-7-28	0898-22-1541	34.063861	132.997141
111	三浦屋	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市中浜町3-1-1	0898-33-0333	34.070575	133.002546
112	みかさや渡部呉服店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町2-4-13	0898-22-0204	34.067397	133.002412
113	ミモザ　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-34-1439	34.061369	133.014766
114	ユニクロ今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市旭町3-2-6	0898-24-7350	34.060862	133.002152
115	洋服の青山　今治本店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市土橋町1-4-23	0898-32-6160	34.047656	133.007681
116	ライトオン　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-23-5610	34.042547	132.961301
117	ラスピーニ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町2-5-10	0898-23-6754	34.066906	133.001638
118	ラスピーニドゥーエ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市旭町1-1-4 2F	0898-31-8111	34.065392	132.999569
119	ＬＡＰＡＸ（ラパックス）　フジグラン今治店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町5-13-1	0898-34-1761	34.061369	133.014766
120	リゲッタカヌーｂｙリケリケ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-35-3818	34.042547	132.961301
121	ルネオブパリスｂｙフォンテーヌ　イオンモール今治新都市	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市にぎわい広場1-1	0898-22-9722	34.042547	132.961301
122	レリアン	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市常盤町3-4-1	0898-23-7808	34.066417	133.000821
123	ワークウェイ	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市衣干町4-6-26	0898-34-8808	34.046076	133.013035
124	ワークマン今治北インター店	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市大新田町5-6-53	0898-22-1755	34.081482	132.991332
125	和装の店　井戸	今治地区	織物・衣服・身の回り品小売業	愛媛県今治市東門町4-3-25	0898-22-1781	34.059696	133.013958
126	一六本舗　今治中央店	今治地区	飲食料品小売業	愛媛県今治市馬越町3-3-32	0898-23-0016	34.057386	132.979815
127	一笑堂	今治地区	飲食料品小売業	愛媛県今治市中浜町1-1-21	0898-22-0295	34.069406	133.003679
128	魚貞蒲鉾店	今治地区	飲食料品小売業	愛媛県今治市常盤町1-4-12	0898-32-0842	34.068417	133.004118
129	卜部蒲鉾店	今治地区	飲食料品小売業	愛媛県今治市黄金町1-5-18	0898-22-1483	34.066439	133.001863
130	お酒のエスエス今治店	今治地区	飲食料品小売業	愛媛県今治市馬越町2-3-36	0898-25-3711	34.058777	132.982982
131	お酒のエスエス今治西店	今治地区	飲食料品小売業	愛媛県今治市別名224-1	0898-25-2800	34.040275	132.97583
132	お酒のエスエス本店	今治地区	飲食料品小売業	愛媛県今治市喜田村2-4-38	0898-48-1763	34.046187	133.020871
133	小沢マート	今治地区	飲食料品小売業	愛媛県今治市喜田村5-5-10	0898-48-6173	34.046635	133.025101
134	おもいで横丁　フジグラン今治店	今治地区	飲食料品小売業	愛媛県今治市東門町5-13-1		34.061369	133.014766
135	菓子処　ハタダ　今治国際ホテル店	今治地区	飲食料品小売業	愛媛県今治市旭町2-3-4	0898-32-5123	34.062131	133.000574
136	菓子処　ハタダ　第一病院前店	今治地区	飲食料品小売業	愛媛県今治市北日吉町1-13	0898-25-6030		
137	菓子屋　艷	今治地区	飲食料品小売業	愛媛県今治市片山1-1-1	0898-22-1192	34.054231	132.981671
138	果琳　イオンモール今治新都市	今治地区	飲食料品小売業	愛媛県今治市にぎわい広場1-1	0898-35-2701	34.042547	132.961301
139	カルディコーヒーファーム　イオンモール今治新都市	今治地区	飲食料品小売業	愛媛県今治市にぎわい広場1-1	0898-22-0322	34.042547	132.961301
140	ギターズ　フジ今治店	今治地区	飲食料品小売業	愛媛県今治市小泉4-5-1	0898-32-1301	34.047432	132.980739
141	業務スーパー今治店	今治地区	飲食料品小売業	愛媛県今治市北高下町1-3-25	0898-34-3511	34.055703	133.014311
142	くみあいマーケット郷店	今治地区	飲食料品小売業	愛媛県今治市郷本町1-2-15	0898-32-2355	34.049291	132.996613
143	ケーキ工房　Ｓ	今治地区	飲食料品小売業	愛媛県今治市八町西2-2-3	0898-22-3513	34.048096	132.990847
144	工房マインドDAN	今治地区	飲食料品小売業	愛媛県今治市旦甲287-5	0898-47-3001		
145	サーティワン　アイスクリーム　イオンモール今治新都市	今治地区	飲食料品小売業	愛媛県今治市にぎわい広場1-1	0898-55-8535	34.042547	132.961301
146	彩菜今治店	今治地区	飲食料品小売業	愛媛県今治市別宮町9-1-27	0898-32-3551	34.06956	132.989559
147	さいさいきて屋	今治地区	飲食料品小売業	愛媛県今治市中寺279-1	0898-33-3131	34.038629	132.993632
148	彩菜サイコー　イオンモール今治新都市	今治地区	飲食料品小売業	愛媛県今治市にぎわい広場1-1	0898-35-3650	34.042547	132.961301
149	菜遊季　フジグラン今治店	今治地区	飲食料品小売業	愛媛県今治市東門町5-13-1	0898-34-1488	34.061369	133.014766
150	サカエマート	今治地区	飲食料品小売業	愛媛県今治市北日吉町3-5-23	0898-24-0048	34.059802	132.983699
151	シィルブープレ	今治地区	飲食料品小売業	愛媛県今治市唐子台東1-11-5	0898-47-2896	34.032348	133.028814
152	白石酒店	今治地区	飲食料品小売業	愛媛県今治市喜田村6-3-45	0898-48-5544	34.044415	133.022418
153	神野商店	今治地区	飲食料品小売業	愛媛県今治市桜井団地3-9-5	0898-48-1515	34.025237	133.015568
154	スイス菓子　アルム	今治地区	飲食料品小売業	愛媛県今治市別宮町3-3-3	0898-23-1035	34.069	132.996322
155	そごうマート上徳店	今治地区	飲食料品小売業	愛媛県今治市上徳字井手口372-6	0898-48-2110		
156	そごうマート八町店	今治地区	飲食料品小売業	愛媛県今治市松木字八反地389-1	0898-35-1001		
157	高橋屋	今治地区	飲食料品小売業	愛媛県今治市常盤町3-1-2	0898-23-0950	34.066689	133.001246
158	有限会社中村屋蒲鉾店	今治地区	飲食料品小売業	愛媛県今治市常盤町1-4-3	0898-22-1152	34.068597	133.004284
159	二宮蒲鉾店	今治地区	飲食料品小売業	愛媛県今治市旭町1-5-17	0898-22-1662	34.064514	133.000243
160	のま果樹園　今治北日吉店	今治地区	飲食料品小売業	愛媛県今治市北日吉町1-11-10	0898-32-0223	34.066271	132.990487
161	バイカルベーカリー	今治地区	飲食料品小売業	愛媛県今治市常盤町5-5-26	0898-22-5516	34.059531	132.992923
162	ハタダ　南鳥生店	今治地区	飲食料品小売業	愛媛県今治市南鳥生町4-5-20	0898-35-2320	34.050583	133.006437
163	パティスリー　イリス	今治地区	飲食料品小売業	愛媛県今治市郷新屋敷町5-2-8	0898-77-2187	34.041687	133.000023
164	パティスリークラーベ	今治地区	飲食料品小売業	愛媛県今治市北日吉町1-13-7	0898-35-4492	34.065508	132.990584
165	ビアードパパの作りたて工房　イオンモール今治新都市	今治地区	飲食料品小売業	愛媛県今治市にぎわい広場1-1	050-3521-1867	34.042547	132.961301
166	檜垣蒲鉾	今治地区	飲食料品小売業	愛媛県今治市蔵敷町1-5-3	0898-22-2166	34.058934	132.998397
167	ファミリーマート今治阿方店	今治地区	飲食料品小売業	愛媛県今治市阿方甲306-1	0898-22-1281	34.060939	132.971062
168	ファミリーマート今治五十嵐店	今治地区	飲食料品小売業	愛媛県今治市五十嵐甲101-3	0898-23-2433		
169	ファミリーマート今治糸山店	今治地区	飲食料品小売業	愛媛県今治市波止浜6-91	0898-43-1901	34.103712	132.973592
170	ファミリーマート今治馬越店	今治地区	飲食料品小売業	愛媛県今治市馬越町3丁目甲285-1	0898-31-4771		
171	ファミリーマート今治大新田町店	今治地区	飲食料品小売業	愛媛県今治市大新田町4-1-8	0898-31-3901	34.081988	132.991788
172	ファミリーマート今治上徳１丁目店	今治地区	飲食料品小売業	愛媛県今治市上徳1-5-30	0898-43-5711	34.042757	133.015807
173	ファミリーマート今治喜田村店	今治地区	飲食料品小売業	愛媛県今治市喜田村2-325-1	0898-48-4244		
174	ファミリーマート今治衣干一丁目店	今治地区	飲食料品小売業	愛媛県今治市衣干町1-1-19	0898-34-8150	34.049445	133.01603
175	ファミリーマート今治郷桜井三丁目店	今治地区	飲食料品小売業	愛媛県今治市郷桜井3-4-17	0898-36-6680	34.015866	133.037785
176	ファミリーマート今治郷本町店	今治地区	飲食料品小売業	愛媛県今治市郷本町2-6-34	0898-34-5534	34.046272	132.99468
